OrderID,Customer_Name,Category,Sub_Category,City,Order_Date, Order_Year,Order_Month, Order_Quarter,Region,Sales,Discount,Profit,State
OD19,Haseena,"Eggs, Meat & Fish",Mutton,Lucknow,2017-03-08,2017,Mar,Q1,North,1757,0.35,386.54,Uttar Pradesh
OD20,Verma,Beverages,Soft Drinks,Lucknow,2019-04-07,2019,Apr,Q2,North,692,0.29,159.16,Uttar Pradesh
OD21,Hafiz,Beverages,Health Drinks,Unknown,2018-01-09,2018,Jan,Q1,Others,522,0.19,208.8,Andhra Pradesh
OD22,Alan,Food Grains,Dals & Pulses,Lucknow,2018-04-01,2018,Apr,Q2,North,948,0.13,47.4,Uttar Pradesh
OD23,Haseena,Beverages,Soft Drinks,Unknown,2018-04-01,2018,Apr,Q2,Others,707,0.34,148.47,Andhra Pradesh
OD24,Alan,Fruits & Veggies,Organic Vegetables,Lucknow,2017-05-09,2017,May,Q2,North,969,0.29,77.52,Uttar Pradesh
OD25,Sharon,"Eggs, Meat & Fish",Eggs,Bengaluru,2017-05-09,2017,May,Q2,South,1100,0.11,495,Karnataka
OD26,Krithika,Snacks,Chocolates,Unknown,2017-05-09,2017,May,Q2,Others,2022,0.11,202.2,Andhra Pradesh
OD27,Muneer,Snacks,Cookies,Lucknow,2017-05-09,2017,May,Q2,North,541,0.12,43.28,Uttar Pradesh
OD28,Jackson,Bakery,Biscuits,Unknown,2017-05-09,2017,May,Q2,Others,979,0.22,401.39,Andhra Pradesh
OD29,Veronica,Beverages,Soft Drinks,Unknown,2017-05-09,2017,May,Q2,Others,1988,0.22,874.72,Andhra Pradesh
OD30,Shah,Oil & Masala,Masalas,Unknown,2017-05-09,2017,May,Q2,Others,989,0.17,69.23,Andhra Pradesh
OD31,Ramesh,Beverages,Soft Drinks,Unknown,2019-07-10,2019,Jul,Q3,Others,1845,0.24,166.05,Andhra Pradesh
OD32,Mathew,Snacks,Noodles,Unknown,2018-03-12,2018,Mar,Q1,Others,1400,0.11,420,Andhra Pradesh
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Unknown,2018-03-12,2018,Mar,Q1,Others,2163,0.26,670.53,Andhra Pradesh
OD34,Anu,Oil & Masala,Masalas,Mumbai,2018-03-12,2018,Mar,Q1,West,1689,0.34,337.8,Maharashtra
OD35,Anu,Beverages,Health Drinks,Unknown,2018-03-12,2018,Mar,Q1,Others,809,0.32,80.9,Andhra Pradesh
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Ranchi,2018-05-07,2018,May,Q2,East,1265,0.22,569.25,Jharkhand
OD37,James,Beverages,Soft Drinks,New Delhi,2019-07-09,2019,Jul,Q3,North,934,0.35,56.04,Delhi
OD38,Willams,Fruits & Veggies,Organic Vegetables,Unknown,2016-08-10,2016,Aug,Q3,Others,1354,0.16,446.82,Andhra Pradesh
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Shimla,2018-08-06,2018,Aug,Q3,North,1751,0.19,280.16,Himachal Pradesh
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Unknown,2018-08-06,2018,Aug,Q3,Others,2045,0.23,879.35,Andhra Pradesh
OD41,Malik,Beverages,Health Drinks,Kochi,2017-06-04,2017,Jun,Q2,South,660,0.19,92.4,Kerala
OD42,Arutra,Beverages,Soft Drinks,Lucknow,2017-06-04,2017,Jun,Q2,North,1868,0.18,616.44,Uttar Pradesh
OD43,Sharon,Snacks,Cookies,Unknown,2017-06-04,2017,Jun,Q2,Others,1017,0.25,345.78,Andhra Pradesh
OD44,Mathew,Snacks,Cookies,Unknown,2017-06-04,2017,Jun,Q2,Others,2311,0.2,1039.95,Andhra Pradesh
OD45,Amrish,Bakery,Biscuits,Unknown,2018-05-06,2018,May,Q2,Others,1663,0.17,731.72,Andhra Pradesh
OD46,Vince,"Eggs, Meat & Fish",Eggs,Unknown,2018-05-06,2018,May,Q2,Others,1420,0.19,355,Andhra Pradesh
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Unknown,2018-05-06,2018,May,Q2,Others,1415,0.31,509.4,Andhra Pradesh
OD48,Mathew,Snacks,Noodles,New Delhi,2018-05-06,2018,May,Q2,North,1488,0.3,610.08,Delhi
OD49,Ridhesh,Snacks,Noodles,Unknown,2018-05-06,2018,May,Q2,Others,726,0.18,43.56,Andhra Pradesh
OD50,Amrish,Bakery,Cakes,Unknown,2018-05-06,2018,May,Q2,Others,1259,0.15,415.47,Andhra Pradesh
OD51,Esther,Beverages,Soft Drinks,Unknown,2018-05-06,2018,May,Q2,Others,902,0.29,153.34,Andhra Pradesh
OD52,Shah,Beverages,Soft Drinks,Gurugram,2017-12-11,2017,Dec,Q4,North,2306,0.3,553.44,Haryana
OD53,Sudha,Bakery,Cakes,New Delhi,2017-12-11,2017,Dec,Q4,North,1417,0.19,99.19,Delhi
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,New Delhi,2017-12-11,2017,Dec,Q4,North,627,0.33,181.83,Delhi
OD55,Esther,Fruits & Veggies,Organic Fruits,New Delhi,2017-12-11,2017,Dec,Q4,North,760,0.28,60.8,Delhi
OD56,Muneer,Food Grains,Atta & Flour,Bengaluru,2018-06-04,2018,Jun,Q2,South,2350,0.15,611,Karnataka
OD57,Komal,"Eggs, Meat & Fish",Fish,New Delhi,2018-06-09,2018,Jun,Q2,North,1179,0.34,271.17,Delhi
OD58,Veena,Food Grains,Dals & Pulses,New Delhi,2019-02-09,2019,Feb,Q1,North,1624,0.35,194.88,Delhi
OD59,Sharon,"Eggs, Meat & Fish",Mutton,New Delhi,2018-02-04,2018,Feb,Q1,North,1316,0.35,421.12,Delhi
OD60,Shree,Beverages,Health Drinks,New Delhi,2018-02-04,2018,Feb,Q1,North,2121,0.12,678.72,Delhi
OD61,Roshan,Oil & Masala,Masalas,Mumbai,2018-02-04,2018,Feb,Q1,West,1428,0.28,271.32,Maharashtra
OD62,Willams,Snacks,Noodles,New Delhi,2017-02-11,2017,Feb,Q1,North,706,0.33,289.46,Delhi
OD63,Sudeep,"Eggs, Meat & Fish",Fish,Mumbai,2019-01-11,2019,Jan,Q1,West,921,0.25,184.2,Maharashtra
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,New Delhi,2020-04-05,2020,Apr,Q2,North,1741,0.31,661.58,Delhi
OD65,Willams,"Eggs, Meat & Fish",Eggs,New Delhi,2020-02-10,2020,Feb,Q1,North,607,0.22,200.31,Delhi
OD66,Muneer,"Eggs, Meat & Fish",Mutton,New Delhi,2020-02-10,2020,Feb,Q1,North,1824,0.25,766.08,Delhi
OD67,Vinne,Food Grains,Atta & Flour,New Delhi,2018-05-09,2018,May,Q2,North,1368,0.11,383.04,Delhi
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,New Delhi,2018-05-09,2018,May,Q2,North,1160,0.16,510.4,Delhi
OD69,Ramesh,Food Grains,Atta & Flour,Kochi,2018-05-09,2018,May,Q2,South,1294,0.23,77.64,Kerala
OD70,Peer,Oil & Masala,Masalas,New Delhi,2018-07-01,2018,Jul,Q3,North,1232,0.14,554.4,Delhi
OD71,Verma,"Eggs, Meat & Fish",Mutton,Unknown,2018-07-01,2018,Jul,Q3,Others,994,0.31,357.84,Andhra Pradesh
OD72,Yusuf,Snacks,Noodles,Bengaluru,2018-07-01,2018,Jul,Q3,South,2468,0.18,1011.88,Karnataka
OD73,Alan,Snacks,Cookies,New Delhi,2019-05-06,2019,May,Q2,North,721,0.27,100.94,Delhi
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Bhopal,2019-05-08,2019,May,Q2,Central,2375,0.21,475,Madhya Pradesh
OD75,Arvind,Beverages,Soft Drinks,Mumbai,2019-05-08,2019,May,Q2,West,1965,0.13,117.9,Maharashtra
OD76,Veronica,Beverages,Soft Drinks,New Delhi,2019-05-08,2019,May,Q2,North,1489,0.12,193.57,Delhi
OD77,Arvind,Fruits & Veggies,Organic Fruits,Ahmedabad,2017-01-11,2017,Jan,Q1,West,1250,0.27,75,Gujarat
OD78,Anu,Snacks,Noodles,New Delhi,2017-01-11,2017,Jan,Q1,North,1358,0.31,488.88,Delhi
OD79,Haseena,Snacks,Cookies,New Delhi,2017-01-11,2017,Jan,Q1,North,719,0.2,64.71,Delhi
OD80,Veena,Fruits & Veggies,Organic Fruits,Kochi,2019-11-11,2019,Nov,Q4,South,2303,0.26,621.81,Kerala
OD81,Kumar,Beverages,Health Drinks,Shimla,2019-11-11,2019,Nov,Q4,North,2027,0.34,912.15,Himachal Pradesh
OD82,Amy,Food Grains,Atta & Flour,Bengaluru,2019-11-11,2019,Nov,Q4,South,1739,0.29,765.16,Karnataka
OD83,Komal,Oil & Masala,Spices,Lucknow,2017-03-10,2017,Mar,Q1,North,990,0.26,227.7,Uttar Pradesh
OD84,Ravi,Beverages,Soft Drinks,New Delhi,2020-01-12,2020,Jan,Q1,North,2354,0.11,682.66,Delhi
OD85,Amy,Fruits & Veggies,Organic Fruits,Bengaluru,2017-01-08,2017,Jan,Q1,South,1044,0.1,344.52,Karnataka
OD86,Willams,Oil & Masala,Spices,New Delhi,2017-01-08,2017,Jan,Q1,North,2129,0.25,659.99,Delhi
OD87,Sharon,Food Grains,Rice,Bhopal,2017-01-08,2017,Jan,Q1,Central,1759,0.1,615.65,Madhya Pradesh
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,New Delhi,2017-01-08,2017,Jan,Q1,North,1663,0.26,665.2,Delhi
OD89,Sheeba,Bakery,Breads & Buns,New Delhi,2017-02-12,2017,Feb,Q1,North,2111,0.21,189.99,Delhi
OD90,Krithika,Food Grains,Dals & Pulses,Mumbai,2016-08-09,2016,Aug,Q3,West,1878,0.12,450.72,Maharashtra
OD91,Willams,"Eggs, Meat & Fish",Chicken,New Delhi,2018-01-10,2018,Jan,Q1,North,769,0.34,46.14,Delhi
OD92,Roshan,Beverages,Health Drinks,New Delhi,2018-01-10,2018,Jan,Q1,North,1241,0.14,409.53,Delhi
OD93,Ravi,Food Grains,Atta & Flour,Bengaluru,2018-01-10,2018,Jan,Q1,South,2128,0.14,383.04,Karnataka
OD94,Ram,Fruits & Veggies,Fresh Fruits,New Delhi,2018-01-10,2018,Jan,Q1,North,2257,0.33,270.84,Delhi
OD95,Mathew,Snacks,Chocolates,New Delhi,2018-01-10,2018,Jan,Q1,North,1285,0.28,218.45,Delhi
OD96,Veena,"Eggs, Meat & Fish",Fish,Lucknow,2018-01-10,2018,Jan,Q1,North,1230,0.13,442.8,Uttar Pradesh
OD97,Sudha,Food Grains,Atta & Flour,Lucknow,2018-01-10,2018,Jan,Q1,North,1856,0.21,723.84,Uttar Pradesh
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Unknown,2019-06-09,2019,Jun,Q2,Others,545,0.31,125.35,Andhra Pradesh
OD99,Vince,Snacks,Chocolates,Lucknow,2019-06-09,2019,Jun,Q2,North,2301,0.28,391.17,Uttar Pradesh
OD100,Krithika,Oil & Masala,Spices,New Delhi,2019-06-09,2019,Jun,Q2,North,1475,0.26,531,Delhi
OD101,Adavan,Bakery,Cakes,Ranchi,2019-10-12,2019,Oct,Q4,East,2118,0.35,910.74,Jharkhand
OD102,Roshan,Beverages,Soft Drinks,New Delhi,2016-10-10,2016,Oct,Q4,North,1527,0.17,671.88,Delhi
OD103,Vinne,Snacks,Chocolates,New Delhi,2018-01-03,2018,Jan,Q1,North,567,0.18,175.77,Delhi
OD104,Amy,Fruits & Veggies,Fresh Fruits,Lucknow,2018-01-03,2018,Jan,Q1,North,969,0.27,184.11,Uttar Pradesh
OD105,Suresh,Food Grains,Dals & Pulses,Bengaluru,2018-07-05,2018,Jul,Q3,South,2300,0.14,1035,Karnataka
OD106,Komal,Oil & Masala,Masalas,Bengaluru,2018-07-05,2018,Jul,Q3,South,1575,0.33,78.75,Karnataka
OD107,Sundar,Beverages,Health Drinks,New Delhi,2018-07-05,2018,Jul,Q3,North,540,0.12,108,Delhi
OD108,Willams,Snacks,Cookies,Bengaluru,2018-04-05,2018,Apr,Q2,South,536,0.34,176.88,Karnataka
OD109,Vidya,"Eggs, Meat & Fish",Eggs,Bengaluru,2018-08-11,2018,Aug,Q3,South,556,0.21,155.68,Karnataka
OD110,Shree,Fruits & Veggies,Fresh Fruits,New Delhi,2018-08-11,2018,Aug,Q3,North,1179,0.16,271.17,Delhi
OD111,Sundar,Food Grains,Dals & Pulses,Lucknow,2018-04-12,2018,Apr,Q2,North,1487,0.12,505.58,Uttar Pradesh
OD112,Arvind,Bakery,Breads & Buns,New Delhi,2018-04-11,2018,Apr,Q2,North,2220,0.1,111,Delhi
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,New Delhi,2016-02-09,2016,Feb,Q1,North,2155,0.3,581.85,Delhi
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Lucknow,2016-02-09,2016,Feb,Q1,North,1154,0.1,69.24,Uttar Pradesh
OD115,Muneer,Snacks,Noodles,New Delhi,2019-09-04,2019,Sep,Q3,North,2420,0.11,242,Delhi
OD116,Rumaiza,Snacks,Chocolates,New Delhi,2017-09-11,2017,Sep,Q3,North,1305,0.24,287.1,Delhi
OD117,Hussain,Fruits & Veggies,Organic Fruits,Bengaluru,2017-09-11,2017,Sep,Q3,South,927,0.2,157.59,Karnataka
OD118,Arvind,Fruits & Veggies,Organic Vegetables,New Delhi,2017-03-12,2017,Mar,Q1,North,983,0.11,186.77,Delhi
OD119,Akash,Food Grains,Rice,New Delhi,2016-07-11,2016,Jul,Q3,North,903,0.1,90.3,Delhi
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,New Delhi,2016-07-11,2016,Jul,Q3,North,1235,0.12,74.1,Delhi
OD121,Alan,Fruits & Veggies,Organic Vegetables,Bengaluru,2016-07-11,2016,Jul,Q3,South,1243,0.24,174.02,Karnataka
OD122,Harish,Bakery,Cakes,Ranchi,2019-04-11,2019,Apr,Q2,East,649,0.34,201.19,Jharkhand
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Patna,2017-02-08,2017,Feb,Q1,East,2354,0.11,188.32,Bihar
OD124,Anu,Beverages,Soft Drinks,Bengaluru,2018-04-07,2018,Apr,Q2,South,1443,0.27,187.59,Karnataka
OD125,Sudeep,Bakery,Breads & Buns,Lucknow,2018-04-07,2018,Apr,Q2,North,975,0.26,390,Uttar Pradesh
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,New Delhi,2018-07-10,2018,Jul,Q3,North,889,0.19,71.12,Delhi
OD127,Shah,"Eggs, Meat & Fish",Mutton,Bengaluru,2016-09-03,2016,Sep,Q3,South,2352,0.17,870.24,Karnataka
OD128,Harish,Oil & Masala,Spices,Bhopal,2016-09-03,2016,Sep,Q3,Central,1293,0.23,336.18,Madhya Pradesh
OD129,Sharon,Food Grains,Rice,New Delhi,2019-12-06,2019,Dec,Q4,North,1458,0.29,597.78,Delhi
OD130,Peer,Food Grains,Atta & Flour,Mumbai,2019-05-12,2019,May,Q2,West,1801,0.22,126.07,Maharashtra
OD131,Haseena,Snacks,Chocolates,New Delhi,2019-04-10,2019,Apr,Q2,North,1261,0.29,416.13,Delhi
OD132,Sundar,Beverages,Soft Drinks,New Delhi,2019-04-10,2019,Apr,Q2,North,2112,0.28,105.6,Delhi
OD133,Ram,"Eggs, Meat & Fish",Fish,Lucknow,2017-12-12,2017,Dec,Q4,North,640,0.24,140.8,Uttar Pradesh
OD134,Shah,Bakery,Cakes,Bengaluru,2017-12-12,2017,Dec,Q4,South,1658,0.12,315.02,Karnataka
OD135,Harish,Beverages,Health Drinks,Bengaluru,2017-12-12,2017,Dec,Q4,South,2373,0.18,664.44,Karnataka
OD136,Veena,Fruits & Veggies,Organic Fruits,New Delhi,2017-12-12,2017,Dec,Q4,North,1430,0.19,514.8,Delhi
OD137,Sundar,Oil & Masala,Spices,Bengaluru,2017-12-12,2017,Dec,Q4,South,1873,0.3,674.28,Karnataka
OD138,Jackson,"Eggs, Meat & Fish",Eggs,New Delhi,2017-12-12,2017,Dec,Q4,North,867,0.14,329.46,Delhi
OD139,Malik,Snacks,Noodles,Ahmedabad,2018-04-02,2018,Apr,Q2,West,1101,0.19,484.44,Gujarat
OD140,Hussain,"Eggs, Meat & Fish",Mutton,Jaipur,2018-04-02,2018,Apr,Q2,West,1088,0.28,424.32,Rajasthan
OD141,Veena,Bakery,Biscuits,Patna,2016-01-09,2016,Jan,Q1,East,866,0.32,381.04,Bihar
OD142,Aditi,Oil & Masala,Masalas,Bengaluru,2018-04-11,2018,Apr,Q2,South,2483,0.14,223.47,Karnataka
OD143,Surya,Food Grains,Atta & Flour,New Delhi,2018-04-11,2018,Apr,Q2,North,1335,0.11,293.7,Delhi
OD144,Sharon,"Eggs, Meat & Fish",Fish,Bengaluru,2018-04-11,2018,Apr,Q2,South,765,0.24,252.45,Karnataka
OD145,Vinne,"Eggs, Meat & Fish",Mutton,Bengaluru,2018-04-11,2018,Apr,Q2,South,2403,0.2,624.78,Karnataka
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Bhopal,2016-07-09,2016,Jul,Q3,Central,1551,0.13,573.87,Madhya Pradesh
OD147,Ridhesh,Food Grains,Organic Staples,New Delhi,2016-07-09,2016,Jul,Q3,North,1564,0.27,187.68,Delhi
OD148,Harish,Fruits & Veggies,Fresh Vegetables,New Delhi,2019-04-06,2019,Apr,Q2,North,1125,0.33,292.5,Delhi
OD149,Veronica,Beverages,Health Drinks,Bengaluru,2018-10-01,2018,Oct,Q4,South,768,0.1,184.32,Karnataka
OD150,Ravi,"Eggs, Meat & Fish",Fish,Lucknow,2020-04-12,2020,Apr,Q2,North,1985,0.26,734.45,Uttar Pradesh
OD151,Muneer,Food Grains,Rice,Bengaluru,2018-06-07,2018,Jun,Q2,South,2287,0.13,1029.15,Karnataka
OD152,Jackson,Snacks,Chocolates,Lucknow,2018-06-07,2018,Jun,Q2,North,1016,0.34,335.28,Uttar Pradesh
OD153,Amy,Snacks,Cookies,Lucknow,2018-06-07,2018,Jun,Q2,North,852,0.26,76.68,Uttar Pradesh
OD154,Ram,Food Grains,Organic Staples,Gurugram,2019-04-09,2019,Apr,Q2,North,1233,0.28,234.27,Haryana
OD155,Jonas,Snacks,Noodles,Bengaluru,2019-04-09,2019,Apr,Q2,South,2236,0.14,626.08,Karnataka
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,Bhopal,2019-01-10,2019,Jan,Q1,Central,2188,0.32,809.56,Madhya Pradesh
OD157,Peer,Snacks,Cookies,New Delhi,2019-01-10,2019,Jan,Q1,North,1114,0.2,456.74,Delhi
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Bengaluru,2019-01-10,2019,Jan,Q1,South,1774,0.15,620.9,Karnataka
OD159,Amy,Beverages,Soft Drinks,Lucknow,2019-01-10,2019,Jan,Q1,North,2364,0.21,1040.16,Uttar Pradesh
OD160,Amrish,Food Grains,Dals & Pulses,Bengaluru,2018-02-09,2018,Feb,Q1,South,1487,0.11,148.7,Karnataka
OD161,Yadav,Beverages,Soft Drinks,Bhopal,2018-02-09,2018,Feb,Q1,Central,713,0.3,192.51,Madhya Pradesh
OD162,Vinne,"Eggs, Meat & Fish",Fish,Lucknow,2018-02-09,2018,Feb,Q1,North,737,0.2,280.06,Uttar Pradesh
OD163,Amrish,Snacks,Chocolates,Bengaluru,2018-02-09,2018,Feb,Q1,South,1004,0.26,341.36,Karnataka
OD164,Hussain,Snacks,Cookies,Mumbai,2018-02-09,2018,Feb,Q1,West,1516,0.32,121.28,Maharashtra
OD165,Haseena,Food Grains,Atta & Flour,Bengaluru,2018-06-12,2018,Jun,Q2,South,1442,0.28,605.64,Karnataka
OD166,Sudha,Beverages,Health Drinks,Kochi,2018-06-12,2018,Jun,Q2,South,1690,0.33,422.5,Kerala
OD167,Adavan,Snacks,Chocolates,Bengaluru,2018-06-12,2018,Jun,Q2,South,2021,0.13,343.57,Karnataka
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Mumbai,2018-08-11,2018,Aug,Q3,West,2340,0.25,491.4,Maharashtra
OD169,Krithika,Oil & Masala,Spices,Bengaluru,2018-08-11,2018,Aug,Q3,South,705,0.15,176.25,Karnataka
OD170,Sharon,"Eggs, Meat & Fish",Chicken,New Delhi,2018-08-11,2018,Aug,Q3,North,1215,0.2,60.75,Delhi
OD171,Akash,Food Grains,Dals & Pulses,New Delhi,2018-08-11,2018,Aug,Q3,North,552,0.25,237.36,Delhi
OD172,Sabeela,Beverages,Health Drinks,Mumbai,2017-02-12,2017,Feb,Q1,West,1412,0.11,564.8,Maharashtra
OD173,Surya,Food Grains,Dals & Pulses,Bengaluru,2017-02-12,2017,Feb,Q1,South,791,0.32,150.29,Karnataka
OD174,Alan,Fruits & Veggies,Organic Vegetables,Bengaluru,2017-02-12,2017,Feb,Q1,South,2476,0.33,420.92,Karnataka
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Bengaluru,2017-02-12,2017,Feb,Q1,South,1747,0.27,471.69,Karnataka
OD176,Shah,Fruits & Veggies,Organic Fruits,New Delhi,2017-02-12,2017,Feb,Q1,North,1973,0.15,848.39,Delhi
OD177,Mathew,Oil & Masala,Spices,New Delhi,2019-04-10,2019,Apr,Q2,North,2025,0.24,546.75,Delhi
OD178,Rumaiza,Snacks,Noodles,New Delhi,2019-04-10,2019,Apr,Q2,North,1016,0.29,223.52,Delhi
OD179,Arvind,Fruits & Veggies,Organic Fruits,Bengaluru,2019-04-10,2019,Apr,Q2,South,689,0.3,55.12,Karnataka
OD180,Krithika,Food Grains,Atta & Flour,New Delhi,2019-04-10,2019,Apr,Q2,North,1322,0.16,343.72,Delhi
OD181,Arvind,Snacks,Cookies,New Delhi,2019-04-10,2019,Apr,Q2,North,1605,0.25,433.35,Delhi
OD182,Ravi,Beverages,Health Drinks,Mumbai,2019-07-11,2019,Jul,Q3,West,1718,0.2,171.8,Maharashtra
OD183,Jonas,Oil & Masala,Edible Oil & Ghee,Lucknow,2017-06-12,2017,Jun,Q2,North,2177,0.35,783.72,Uttar Pradesh
OD184,Surya,Food Grains,Organic Staples,Lucknow,2019-03-04,2019,Mar,Q1,North,578,0.19,236.98,Uttar Pradesh
OD185,Amrish,Food Grains,Dals & Pulses,Bengaluru,2017-03-09,2017,Mar,Q1,South,782,0.28,195.5,Karnataka
OD186,Shah,Snacks,Noodles,Lucknow,2017-04-12,2017,Apr,Q2,North,1388,0.35,97.16,Uttar Pradesh
OD187,Krithika,Bakery,Cakes,New Delhi,2016-07-09,2016,Jul,Q3,North,2264,0.21,792.4,Delhi
OD188,Anu,Beverages,Soft Drinks,Dehradun,2018-11-04,2018,Nov,Q4,North,813,0.16,138.21,Uttarakhand
OD189,Yusuf,Fruits & Veggies,Organic Fruits,Shimla,2018-11-04,2018,Nov,Q4,North,2015,0.24,564.2,Himachal Pradesh
OD190,Rumaiza,Beverages,Soft Drinks,New Delhi,2019-06-08,2019,Jun,Q2,North,1433,0.3,472.89,Delhi
OD191,Amrish,Fruits & Veggies,Organic Fruits,Bengaluru,2019-06-08,2019,Jun,Q2,South,2093,0.11,334.88,Karnataka
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Bengaluru,2019-06-08,2019,Jun,Q2,South,2149,0.17,623.21,Karnataka
OD193,Anu,Beverages,Health Drinks,New Delhi,2019-06-08,2019,Jun,Q2,North,1972,0.32,414.12,Delhi
OD194,Suresh,Oil & Masala,Masalas,Dehradun,2019-06-08,2019,Jun,Q2,North,2060,0.25,432.6,Uttarakhand
OD195,Peer,"Eggs, Meat & Fish",Eggs,Gurugram,2019-01-04,2019,Jan,Q1,North,1175,0.12,340.75,Haryana
OD196,Sundar,Oil & Masala,Edible Oil & Ghee,Bengaluru,2019-01-04,2019,Jan,Q1,South,1006,0.25,191.14,Karnataka
OD197,Sudeep,Bakery,Breads & Buns,Mumbai,2019-01-04,2019,Jan,Q1,West,1409,0.16,380.43,Maharashtra
OD198,Verma,Food Grains,Organic Staples,Lucknow,2017-10-06,2017,Oct,Q4,North,914,0.34,338.18,Uttar Pradesh
OD199,Surya,"Eggs, Meat & Fish",Mutton,Mumbai,2016-01-04,2016,Jan,Q1,West,1352,0.3,527.28,Maharashtra
OD200,Sudha,"Eggs, Meat & Fish",Eggs,Bengaluru,2016-01-04,2016,Jan,Q1,South,682,0.25,170.5,Karnataka
OD201,James,Food Grains,Organic Staples,Bengaluru,2016-01-04,2016,Jan,Q1,South,1738,0.22,243.32,Karnataka
OD202,Vidya,Bakery,Cakes,New Delhi,2016-01-04,2016,Jan,Q1,North,2421,0.25,484.2,Delhi
OD203,Jackson,Food Grains,Organic Staples,Bengaluru,2017-08-12,2017,Aug,Q3,South,2245,0.24,404.1,Karnataka
OD204,Akash,Oil & Masala,Masalas,Kochi,2019-03-06,2019,Mar,Q1,South,896,0.12,295.68,Kerala
OD205,Ram,Oil & Masala,Spices,Kochi,2018-11-04,2018,Nov,Q4,South,1033,0.3,185.94,Kerala
OD206,Vinne,"Eggs, Meat & Fish",Mutton,Kochi,2020-01-09,2020,Jan,Q1,South,1998,0.29,139.86,Kerala
